date;price
07/08/2012;11.01
08/08/2012;110.553
09/08/2012;110.611
10/08/2012;113.864
11/08/2012;115.102
12/08/2012;11.624
13/08/2012;120.375
14/08/2012;12.19
15/08/2012;13.25
16/08/2012;13.05
17/08/2012;115.836
18/08/2012;0,500694444
19/08/2012;08.00
20/08/2012;10.01
21/08/2012;9.915
22/08/2012;98.068
23/08/2012;10.01
24/08/2012;10.06
25/08/2012;105.239
26/08/2012;0,459027778
27/08/2012;0,482638889
28/08/2012;0,481944444
29/08/2012;109.169
30/08/2012;10.777
31/08/2012;10.16
01/09/2012;99.654
02/09/2012;102.041
03/09/2012;10.53
04/09/2012;103.847
05/09/2012;109.997
06/09/2012;11.181
07/09/2012;11.00
08/09/2012;11.037
09/09/2012;11.02
10/09/2012;11.17
11/09/2012;113.308
12/09/2012;113.649
13/09/2012;11.399
14/09/2012;0,504861111
15/09/2012;0,510416667
16/09/2012;0,51875
17/09/2012;0,520138889
18/09/2012;12.25
19/09/2012;125.725
20/09/2012;122.825
21/09/2012;12.368
22/09/2012;122.378
23/09/2012;121.933
24/09/2012;12.01
25/09/2012;12.197
26/09/2012;12.27
27/09/2012;123.089
28/09/2012;12.391
29/09/2012;123.631
30/09/2012;12.04
01/10/2012;12.04
02/10/2012;0,558333333
03/10/2012;0,561805556
04/10/2012;0,559027778
05/10/2012;12.688
06/10/2012;12.505
07/10/2012;11.08
08/10/2012;117.781
09/10/2012;11.895
10/10/2012;12.12
11/10/2012;12.03
12/10/2012;12.00
13/10/2012;11.861
14/10/2012;117.389
15/10/2012;118.381
16/10/2012;118.499
17/10/2012;0,514583333
18/10/2012;119.398
19/10/2012;117.401
20/10/2012;117.399
21/10/2012;116.311
22/10/2012;117.101
23/10/2012;0,503472222
24/10/2012;0,503472222
25/10/2012;108.616
26/10/2012;101.706
27/10/2012;102.605
28/10/2012;10.07
29/10/2012;10.06
30/10/2012;108.875
31/10/2012;11.201
01/11/2012;10.57
02/11/2012;104.688
03/11/2012;106.425
04/11/2012;108.001
05/11/2012;10.748
06/11/2012;10.899
07/11/2012;0,480555556
08/11/2012;10.925
09/11/2012;10.815
10/11/2012;0,478472222
11/11/2012;108.687
12/11/2012;11.008
13/11/2012;109.512
14/11/2012;0,482638889
15/11/2012;111.977
16/11/2012;117.489
17/11/2012;117.889
18/11/2012;116.515
19/11/2012;117.999
20/11/2012;117.328
21/11/2012;0,511805556
22/11/2012;124.219
23/11/2012;12.345
24/11/2012;124.115
25/11/2012;124.821
26/11/2012;122.455
27/11/2012;12.02
28/11/2012;123.477
29/11/2012;12.45
30/11/2012;12.565
01/12/2012;12.562
02/12/2012;12.05
03/12/2012;12.679
04/12/2012;13.41
05/12/2012;13.38
06/12/2012;13.299
07/12/2012;134.999
08/12/2012;134.201
09/12/2012;13.388
10/12/2012;134.334
11/12/2012;13.557
12/12/2012;136.989
13/12/2012;137.001
14/12/2012;13.06
15/12/2012;134.901
16/12/2012;13.03
17/12/2012;132.501
18/12/2012;13.299
19/12/2012;13.599
20/12/2012;135.246
21/12/2012;13.05
22/12/2012;133.714
23/12/2012;13.312
24/12/2012;13.38
25/12/2012;13.35
26/12/2012;134.679
27/12/2012;134.217
28/12/2012;134.212
29/12/2012;13.04
30/12/2012;13.45
31/12/2012;13.51
01/01/2013;133.041
02/01/2013;13.28
03/01/2013;133.979
04/01/2013;13.05
05/01/2013;13.44
06/01/2013;13.454
07/01/2013;135.876
08/01/2013;137.428
09/01/2013;0,595138889
10/01/2013;14.14
11/01/2013;14.137
12/01/2013;14.237
13/01/2013;14.116
14/01/2013;14.03
15/01/2013;14.25
16/01/2013;0,634027778
17/01/2013;15.05
18/01/2013;15.705
19/01/2013;15.615
20/01/2013;15.07
21/01/2013;16.08
22/01/2013;172.614
23/01/2013;17.05
24/01/2013;16.896
25/01/2013;17.04
26/01/2013;0,769444444
27/01/2013;178.182
28/01/2013;18.721
29/01/2013;195.254
30/01/2013;19.07
31/01/2013;20.41
01/02/2013;20.499
02/02/2013;0,835416667
03/02/2013;20.59
04/02/2013;204.301
05/02/2013;20.06
06/02/2013;21.18
07/02/2013;22.15
08/02/2013;0,9625
09/02/2013;1,003472222
10/02/2013;239.698
11/02/2013;24.65
12/02/2013;251.698
13/02/2013;24.02.00
14/02/2013;272.205
15/02/2013;27.01.00
16/02/2013;272.158
17/02/2013;268.146
18/02/2013;26.95
19/02/2013;294.176
20/02/2013;29.645
21/02/2013;297.477
22/02/2013;302.454
23/02/2013;29.08.00
24/02/2013;29.89
25/02/2013;30.04.00
26/02/2013;31.01.00
27/02/2013;309.012
28/02/2013;33.38.00
01/03/2013;34.05.00
02/03/2013;34.25.00
